::ffff:127.0.0.1 - - [14/Jan/2021:05:15:33 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
::ffff:127.0.0.1 - - [14/Jan/2021:07:17:25 +0000] "GET /api/v1/categories HTTP/1.1" 200 648 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:19:11 +0000] "POST /api/v1/categories HTTP/1.1" 200 2062 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:19:38 +0000] "POST /api/v1/categories HTTP/1.1" 200 460 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:29:32 +0000] "GET /api/v1/categories HTTP/1.1" 200 648 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:29:58 +0000] "POST /api/v1/categories HTTP/1.1" 200 460 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:30:03 +0000] "GET /api/v1/categories HTTP/1.1" 200 1085 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:32:12 +0000] "GET /api/v1/categories HTTP/1.1" 200 26 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:32:14 +0000] "POST /api/v1/categories HTTP/1.1" 200 460 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:32:24 +0000] "GET /api/v1/categories HTTP/1.1" 200 462 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:36:11 +0000] "POST /api/v1/categories HTTP/1.1" 200 460 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:36:48 +0000] "POST /api/v1/categories HTTP/1.1" 200 460 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:37:17 +0000] "POST /api/v1/categories HTTP/1.1" 200 460 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:39:28 +0000] "POST /api/v1/categories HTTP/1.1" 200 460 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:40:09 +0000] "GET /api/v1/categories HTTP/1.1" 200 702 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [14/Jan/2021:07:40:20 +0000] "POST /api/v1/categories HTTP/1.1" 200 482 "-" "PostmanRuntime/7.24.1"
